Department,Link to Courses
Management-Full-Time MBA,https://registrar.ucla.edu/academics/course-descriptions?search=Management-Full-Time+MBA
Management-Fully Employed MBA,https://registrar.ucla.edu/academics/course-descriptions?search=Management-Fully+Employed+MBA
Management-Global Executive MBA Asia Pacific,https://registrar.ucla.edu/academics/course-descriptions?search=Management-Global+Executive+MBA+Asia+Pacific
Management-Master of Financial Engineering,https://registrar.ucla.edu/academics/course-descriptions?search=Management-Master+of+Financial+Engineering
Management-Master of Science in Business Analytics,https://registrar.ucla.edu/academics/course-descriptions?search=Management-Master+of+Science+in+Business+Analytics
Management-PhD,https://registrar.ucla.edu/academics/course-descriptions?search=Management-PhD
Materials Science and Engineering,https://registrar.ucla.edu/academics/course-descriptions?search=Materials+Science+and+Engineering
Mathematics,https://registrar.ucla.edu/academics/course-descriptions?search=Mathematics
Mechanical and Aerospace Engineering,https://registrar.ucla.edu/academics/course-descriptions?search=Mechanical+and+Aerospace+Engineering
Medical History,https://registrar.ucla.edu/academics/course-descriptions?search=Medical+History
Medicine,https://registrar.ucla.edu/academics/course-descriptions?search=Medicine
"Microbiology, Immunology, and Molecular Genetics",https://registrar.ucla.edu/academics/course-descriptions?search=Microbiology%2C+Immunology%2C+and+Molecular+Genetics
Middle Eastern Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Middle+Eastern+Studies
Military Science,https://registrar.ucla.edu/academics/course-descriptions?search=Military+Science
Molecular and Medical Pharmacology,https://registrar.ucla.edu/academics/course-descriptions?search=Molecular+and+Medical+Pharmacology
Molecular Biology,https://registrar.ucla.edu/academics/course-descriptions?search=Molecular+Biology
Molecular Toxicology,https://registrar.ucla.edu/academics/course-descriptions?search=Molecular+Toxicology
"Molecular, Cell, and Developmental Biology",https://registrar.ucla.edu/academics/course-descriptions?search=Molecular%2C+Cell%2C+and+Developmental+Biology
"Molecular, Cellular, and Integrative Physiology",https://registrar.ucla.edu/academics/course-descriptions?search=Molecular%2C+Cellular%2C+and+Integrative+Physiology
Music,https://registrar.ucla.edu/academics/course-descriptions?search=Music
Music Industry,https://registrar.ucla.edu/academics/course-descriptions?search=Music+Industry
Musicology,https://registrar.ucla.edu/academics/course-descriptions?search=Musicology
Naval Science,https://registrar.ucla.edu/academics/course-descriptions?search=Naval+Science
Near Eastern Languages,https://registrar.ucla.edu/academics/course-descriptions?search=Near+Eastern+Languages
Neurobiology,https://registrar.ucla.edu/academics/course-descriptions?search=Neurobiology
Neurology,https://registrar.ucla.edu/academics/course-descriptions?search=Neurology
Neuroscience,https://registrar.ucla.edu/academics/course-descriptions?search=Neuroscience
Neuroscience (Graduate),https://registrar.ucla.edu/academics/course-descriptions?search=Neuroscience+(Graduate)
Neurosurgery,https://registrar.ucla.edu/academics/course-descriptions?search=Neurosurgery
