Major,Link,Preparation for the Major,The Major
Electrical Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?id=84,"Required: Chemistry and Biochemistry 20A; Computer Science 31, 32; Electrical and Computer Engineering 2, 3, 10, 11L, M16 (or Computer Science M51A); Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL, 4BL. ","Required: Electrical and Computer Engineering 101A, 102, 110, 111L, 113, 131A; six core courses selected from Computer Science 33, Electrical and Computer Engineering 101B, 115A, 121B, 132A, 133A, 141, 170A; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; 12 units of major field elective courses, at least 8 of which must be upper-division electrical and computer engineering courses—the remaining 4 units may be from upper-division electrical and computer engineering courses or from another engineering school department; and one two-term electrical and computer engineering capstone design course (8 units).
Electrical and Computer Engineering 100 and CM182 may not satisfy elective credit.
For information on UC, school, and general education requirements, see the UCLA Samueli section of College and Schools. "
Materials Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=336,,
Mechanical Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=330,,
Ethnomusicology (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=472,,
Global Jazz Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=419,,
Musicology (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=584,,
Music Composition (B.A.),https://newstudents.ucla.edu/studyarea/?id=422,,
Music Education (B.A.),https://newstudents.ucla.edu/studyarea/?id=415,,
Music History and Industry (B.A.),https://newstudents.ucla.edu/studyarea/?id=427,,
Music Performance (B.M.),https://newstudents.ucla.edu/studyarea/?id=426,,
Nursing - Prelicensure (B.S.),http://newstudents.ucla.edu/studyarea/?id=309,,
Public Affairs (B.A.),http://newstudents.ucla.edu/studyarea/?id=418,,
Film and Television (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=473,,
Theater (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=902,,
Education and Social Transformation (B.A.),https://newstudents.ucla.edu/studyarea/?id=429,,
